OPER_DATE;CREDIT_ACCOUNT_RK;DEBET_ACCOUNT_RK;CREDIT_AMOUNT;DEBET_AMOUNT
09-01-2018;13630;17436;94333.93;18337.76
09-01-2018;15698716;13630;68294.14;31542.06
09-01-2018;12048338;13630;2192.96;98734.33
09-01-2018;393808409;17244;44179.86;98544.65
09-01-2018;409685020;13630;18843.05;889.74
09-01-2018;10006159;13630;82792.29;15395.98
09-01-2018;393808409;17132;9587.62;40751.1
09-01-2018;23463;13631;36873.02;78441.61
09-01-2018;393808409;17436;34865.7;93870.21
09-01-2018;15698716;13630;29712.22;79306.55
09-01-2018;409685020;13630;61573.19;27216.17
09-01-2018;13985;13630;15621.88;73817.74
09-01-2018;1761691;13630;15780.77;55820.18
09-01-2018;528641685;13630;77475.62;4541.71
09-01-2018;1761691;13630;66496.82;84101.88
09-01-2018;13985;13630;33174.22;53938.02
09-01-2018;30277;17436;36271.26;75077.55
09-01-2018;13630;36213979;35494.01;87183.62
09-01-2018;6093814;13630;72657.06;24602.67
09-01-2018;409685020;13630;64138.13;5747.71
09-01-2018;13985;13630;8594.73;17336.19
09-01-2018;409685020;13630;95735.51;15342.24
09-01-2018;409685020;13630;48750.93;28825.91
09-01-2018;15698716;13630;12485.7;52036.04
09-01-2018;13985;13630;47352.17;39848.02
09-01-2018;1761691;13630;31978.52;67818.26
09-01-2018;409684688;13632;25755.49;74588.45
09-01-2018;528641685;13630;77636.5;10114.7
09-01-2018;13630;17436;74157.95;45769.76
09-01-2018;1761691;13630;36083.77;68689.78
09-01-2018;15565;13630;82836.21;77354.08
09-01-2018;10006159;13630;52482.67;55114.31
09-01-2018;409685020;13630;75967.28;18286.3
09-01-2018;409685020;13630;2579.6;82244.68
09-01-2018;10006159;13630;65353.77;1011.15
09-01-2018;17439;17436;84189.32;43460.43
09-01-2018;38622964;13630;11206.4;25447.74
09-01-2018;1648686;13630;94648.79;10324.13
09-01-2018;409685020;13630;56042.08;28107.58
09-01-2018;13630;17436;25853.78;63132.94
09-01-2018;393808409;17436;95668.21;9454.14
09-01-2018;30277;17436;72359.97;92252.31
09-01-2018;434141714;13630;58690.34;10810.72
09-01-2018;393808409;17436;64052.72;10429.21
09-01-2018;10006159;13630;20847.3;71577.78
09-01-2018;409685020;13630;55873.4;55493.27
09-01-2018;311159924;13630;1956.75;16620.79
09-01-2018;13685;13632;60862.03;84562.01
09-01-2018;528641685;13630;35622.49;98315.12
09-01-2018;13630;17436;97586.91;14104.7
09-01-2018;409685020;13630;29837.06;96675.02
09-01-2018;13630;17436;95496.48;58558.57
09-01-2018;393808409;17436;65295.76;26627.31
09-01-2018;10006159;13630;78142.38;81797.57
09-01-2018;393808409;17434;2696.03;3490.28
09-01-2018;409685020;13630;73247.64;69826.16
09-01-2018;30277;13630;55223.89;8443.74
09-01-2018;17436;13630;60942.09;41526.55
09-01-2018;409685106;13631;88164.8;16535.39
09-01-2018;10006159;13630;65543.53;96814.58
09-01-2018;1235426;17436;89864.08;58453.00
09-01-2018;409685020;13630;37737.94;67310.52
09-01-2018;8736635;13630;17631.94;45051.35
09-01-2018;13985;13630;28022.45;46828.89
09-01-2018;6093814;13630;23762.85;92235.7
09-01-2018;61214435;13631;24428.83;85879.13
09-01-2018;17436;13630;24782.6;21350.26
09-01-2018;13630;17436;21691.51;60963.97
09-01-2018;393808409;17434;36081.44;50502.35
09-01-2018;528641685;13630;74049.88;61386.37
09-01-2018;393808409;17436;14301.00;37300.36
09-01-2018;393808409;17436;80255.37;76071.19
09-01-2018;10006159;13630;80021.52;16815.49
09-01-2018;529813296;13631;97019.81;90121.56
09-01-2018;10006159;13630;33156.18;26405.56
09-01-2018;1761691;13630;81376.6;25486.57
09-01-2018;14548;13630;56768.12;35324.86
09-01-2018;37051;13630;81415.23;47469.00
09-01-2018;13630;17436;41726.37;23518.92
09-01-2018;10006159;13630;5387.46;89058.61
09-01-2018;409684688;13632;18863.01;2571.21
09-01-2018;393808409;17436;67676.7;27478.63
09-01-2018;311161703;13632;24840.54;94939.15
09-01-2018;17436;17434;30790.12;91305.33
