CHAPTER;CHAPTER_NAME;SECTION_NUMBER;SECTION_NAME;SUBSECTION_NAME;LEDGER1_ACCOUNT;LEDGER1_ACCOUNT_NAME;LEDGER_ACCOUNT;LEDGER_ACCOUNT_NAME;CHARACTERISTIC;START_DATE;END_DATE
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30204;Обязательные резервы кредитных организаций по счетам в иностранной валюте, депонированные в Банке России;А;2014-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30109;Корреспондентские счета кредитных организаций - корреспондентов;П;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30110;Корреспондентские счета в кредитных организациях - корреспондентах;А;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30111;Корреспондентские счета банков- нерезидентов;П;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30126;Резервы на возможные потери;П;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30223;Незавершенные переводы и расчеты по банковским счетам клиентов при осуществлении расчетов через подразделения Банка России ;П;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30236;Незавершенные переводы, поступившие от платежных систем и на корреспондентские счета ;П;2013-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;304;Счета для осуществления клиринга;30413;Средства на торговых банковских счетах;А;2013-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;304;Счета для осуществления клиринга;30424;Средства в клиринговых организациях, предназначенные для исполнения обязательств, допущенных к клирингу, индивидуального и иного клирингового обеспечения;А;2016-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30114;Корреспондентские счета в банках- нерезидентах;А;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30220;Незавершенные переводы денежных средств, списанных с банковских счетов клиентов ;П;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30221;Незавершенные переводы и расчеты кредитной организации ;А;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30232;Незавершенные расчеты с операторами услуг платежной инфраструктуры и операторами по переводу денежных средств;П;2014-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30222;Незавершенные переводы и расчеты кредитной организации ;П;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;304;Счета для осуществления клиринга;30425;Средства в клиринговых организациях, предназначенные для коллективного клирингового обеспечения (гарантийный фонд);А;2013-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30102;Корреспондентские счета кредитных организаций в Банке России;А;2008-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30202;Обязательные резервы кредитных организаций по счетам в валюте Российской Федерации, депонированные в Банке России;А;2014-01-01;2050-12-31
А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30233;Незавершенные расчеты с операторами услуг платежной инфраструктуры и операторами по переводу денежных средств;А;2014-01-01;2050-12-31
